N	P	frq	lnk	eps	oks	yks	mtd	dat	val
1250	4000	0.1	s1	0.2	c(id, p1)	c(id, p1)	gct	dvp	0.941372343942229
1250	4000	0.1	s1	0.2	c(id, p1)	c(id, p1)	gct	evl	0.943987472819166
1250	4000	0.1	s1	0.2	c(id, p1)	c(id, p1)	mq1	dvp	0.886846160807198
1250	4000	0.1	s1	0.2	c(id, p1)	c(id, p1)	mq1	evl	0.886885478940479
1250	4000	0.1	s1	0.2	c(id, p1)	c(id, p1)	mq2	dvp	0.707612863763144
1250	4000	0.1	s1	0.2	c(id, p1)	c(id, p1)	mq2	evl	0.707597800305025
1250	4000	0.1	s1	0.2	c(id, p1)	c(id, p1)	mq2r	dvp	0.707612863763144
1250	4000	0.1	s1	0.2	c(id, p1)	c(id, p1)	mq2r	evl	0.707597800305025
1250	4000	0.1	s1	0.2	c(id, p1)	c(id, p1)	rop	dvp	0.940609047678985
1250	4000	0.1	s1	0.2	c(id, p1)	c(id, p1)	rop	evl	0.94193288123653
