N	P	frq	lnk	eps	oks	yks	mtd	dat	val
1250	4000	0.1	s2	0.2	c(id, p1)	c(id, p1)	gct	dvp	0.995757771402282
1250	4000	0.1	s2	0.2	c(id, p1)	c(id, p1)	gct	evl	0.997222150274472
1250	4000	0.1	s2	0.2	c(id, p1)	c(id, p1)	mq1	dvp	0.927468359661214
1250	4000	0.1	s2	0.2	c(id, p1)	c(id, p1)	mq1	evl	0.927653913340075
1250	4000	0.1	s2	0.2	c(id, p1)	c(id, p1)	mq2	dvp	0.742212283607019
1250	4000	0.1	s2	0.2	c(id, p1)	c(id, p1)	mq2	evl	0.742168429406548
1250	4000	0.1	s2	0.2	c(id, p1)	c(id, p1)	mq2r	dvp	0.742212283607019
1250	4000	0.1	s2	0.2	c(id, p1)	c(id, p1)	mq2r	evl	0.742168429406548
1250	4000	0.1	s2	0.2	c(id, p1)	c(id, p1)	rop	dvp	0.998262749057151
1250	4000	0.1	s2	0.2	c(id, p1)	c(id, p1)	rop	evl	0.999001498566735
